date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:54	39274/39274	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Jan%202019%2010:59:55%20GMT	https://intelogin.wordpress.com/	E:/HTTrack/Intelog/intelogin.wordpress.com/index.html	(from )
16:29:54	344/344	---MCZ	200	added ('OK')	text/plain	date:Sat,%2005%20Jan%202019%2010:59:55%20GMT	https://intelogin.wordpress.com/robots.txt		(from )
16:29:55	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2005%20Jan%202019%2010:59:56%20GMT	https://intelogin.wordpress.com/xmlrpc.php	E:/HTTrack/Intelog/intelogin.wordpress.com/xmlrpc.php	(from https://intelogin.wordpress.com/)
16:29:55	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%22575f1ca1-1f6c%22	https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	E:/HTTrack/Intelog/s2.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://intelogin.wordpress.com/)
16:29:56	1474/1474	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2005%20Jan%202019%2010:59:56%20GMT	https://intelogin.wordpress.com/feed/	E:/HTTrack/Intelog/intelogin.wordpress.com/feed/index.html	(from https://intelogin.wordpress.com/)
16:29:56	874/874	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22ae0b506df5bfd562e162caa0b4c6acf2%22	https://intelogin.wordpress.com/comments/feed/	E:/HTTrack/Intelog/intelogin.wordpress.com/comments/feed/index.html	(from https://intelogin.wordpress.com/)
16:29:56	870/870	---MCZ	200	added ('OK')	text/xml	date:Sat,%2005%20Jan%202019%2010:59:57%20GMT	https://intelogin.wordpress.com/xmlrpc.php?rsd	E:/HTTrack/Intelog/intelogin.wordpress.com/xmlrpc0db0.php	(from https://intelogin.wordpress.com/)
16:29:56	10046/10046	---M--	200	added ('OK')	image/png	etag:%225644e73b-273e%22	https://s2.wp.com/i/webclip.png	E:/HTTrack/Intelog/s2.wp.com/i/webclip.png	(from https://intelogin.wordpress.com/)
16:29:57	1377/1377	---MCZ	200	added ('OK')	application/xml	date:Sat,%2005%20Jan%202019%2010:59:58%20GMT	https://intelogin.wordpress.com/osd.xml	E:/HTTrack/Intelog/intelogin.wordpress.com/osd.xml	(from https://intelogin.wordpress.com/)
16:29:58	35477/35477	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Jan%202019%2010:59:59%20GMT	https://intelogin.wordpress.com/about-us-2/	E:/HTTrack/Intelog/intelogin.wordpress.com/about-us-2/index.html	(from https://intelogin.wordpress.com/)
16:29:58	34037/34037	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Jan%202019%2010:59:59%20GMT	https://intelogin.wordpress.com/services/	E:/HTTrack/Intelog/intelogin.wordpress.com/services/index.html	(from https://intelogin.wordpress.com/)
16:29:58	32381/32381	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Jan%202019%2010:59:59%20GMT	https://intelogin.wordpress.com/contact/	E:/HTTrack/Intelog/intelogin.wordpress.com/contact/index.html	(from https://intelogin.wordpress.com/)
16:29:58	1415509/1415509	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Jul%202016%2015:57:45%20GMT	https://defaultcustomheadersdata.files.wordpress.com/2016/07/blur.jpg?resize=2000,1200	E:/HTTrack/Intelog/defaultcustomheadersdata.files.wordpress.com/2016/07/blur5242.jpg	(from https://intelogin.wordpress.com/)
